id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17
17987060-17987060_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17987060-17987060_analysis_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17987060-17987060_analysis_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18391135-18391135_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19107465-19107465_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19107465-19107465_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19107465-19107465_analysis_4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19632211-19632211_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19632211-19632211_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19632211-19632211_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20090671-20090671_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20090671-20090671_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20090671-20090671_analysis_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20090671-20090671_analysis_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20090671-20090671_analysis_16	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20090671-20090671_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20090671-20090671_analysis_3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
20090671-20090671_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20090671-20090671_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20090671-20090671_analysis_6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20090671-20090671_analysis_7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20090671-20090671_analysis_8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20090671-20090671_analysis_9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
