id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17	PositiveTail 18	PositiveTail 19	PositiveTail 20	PositiveTail 21
20483908-20483908_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20483908-20483908_2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20483908-20483908_3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20483908-20483908_4	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20483908-20483908_5	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20483908-20483908_6	1	2	0	1	1	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
20570684-20570684_1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20677377-20677377_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20677377-20677377_2	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20677377-20677377_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20677377-20677377_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20677377-20677377_5	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
20837067-20837067_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21073958-21073958_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21463696-21463696_1	0	3	1	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0
21463696-21463696_2	1	5	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
21584904-21584904_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21616086-21616086_1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21616086-21616086_2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21616086-21616086_3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21616086-21616086_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
