id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17	PositiveTail 18	PositiveTail 19
18501639-18501639_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18514546-18514546_analysis_0	1	2	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18514546-18514546_analysis_1	0	2	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
18514546-18514546_analysis_2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18514546-18514546_analysis_3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18514546-18514546_analysis_4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18514546-18514546_analysis_5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18537114-18537114_analysis_1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18537114-18537114_analysis_2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18603608-18603608_analysis_0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_10	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_14	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
