id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11
21466926-21466926_analysis_1	0	0	0	0	0	0	0	0	0	0	0
21466926-21466926_analysis_2	1	0	0	0	0	0	0	0	0	0	0
21466926-21466926_analysis_3	0	0	0	0	0	0	0	0	0	0	0
21593494-21593494_analysis_0	2	0	0	0	0	0	0	0	0	0	0
21593494-21593494_analysis_2	0	0	0	0	0	0	0	0	0	0	0
21593494-21593494_analysis_3	4	0	0	0	0	0	0	0	0	0	0
21593494-21593494_analysis_4	1	0	0	0	0	0	0	0	0	0	0
21599838-21599838_analysis_0	14	0	0	0	0	0	0	0	0	0	0
21599838-21599838_analysis_1	7	0	0	0	0	0	0	0	0	0	0
21764527-21764527_analysis_0	2	0	0	0	0	0	0	0	0	0	0
21764527-21764527_analysis_1	3	0	0	0	0	0	0	0	0	0	0
21790907-21790907_analysis_0	10	1	0	0	0	0	0	0	0	0	0
21790907-21790907_analysis_1	8	0	0	0	0	0	0	0	0	0	0
21926423-21926423_analysis_0	16	0	0	0	0	0	0	0	0	0	0
22028765-22028765_analysis_0	10	0	0	0	0	0	0	0	0	0	0
22155218-22155218_analysis_0	4	0	0	0	0	0	0	0	0	0	0
22155218-22155218_analysis_1	2	0	0	0	0	0	0	0	0	0	0
22206965-22206965_analysis_0	11	0	0	0	0	0	0	0	0	0	0
22206965-22206965_analysis_1	0	0	0	0	0	0	0	0	0	0	0
22206965-22206965_analysis_2	1	0	0	0	0	0	0	0	0	0	0
22209236-22209236_analysis_0	10	0	0	0	0	0	0	0	0	0	0
22227139-22227139_analysis_0	7	0	0	0	0	0	0	0	0	0	0
22230946-22230946_analysis_0	4	0	0	0	0	0	0	0	0	0	0
22264344-22264344_analysis_0	1	0	0	0	0	0	0	0	0	0	0
22264344-22264344_analysis_1	1	0	0	0	0	0	0	0	0	0	0
22264344-22264344_analysis_2	0	0	0	0	0	0	0	0	0	0	0
22264344-22264344_analysis_3	1	0	0	0	0	0	0	0	0	0	0
22264344-22264344_analysis_5	10	0	0	0	0	0	0	0	0	0	0
22264344-22264344_analysis_7	2	0	0	0	0	0	0	0	0	0	0
22329835-22329835_analysis_0	4	0	0	0	0	0	0	0	0	0	0
22329835-22329835_analysis_1	2	0	0	0	0	0	0	0	0	0	0
22329835-22329835_analysis_2	2	0	0	0	0	0	0	0	0	0	0
22329835-22329835_analysis_3	2	0	0	0	0	0	0	0	0	0	0
22381514-22381514_analysis_0	13	0	0	0	0	0	0	0	0	0	0
22406414-22406414_analysis_0	3	0	0	0	0	0	0	0	0	0	0
22406414-22406414_analysis_1	1	0	0	0	0	0	0	0	0	0	0
22406414-22406414_analysis_2	2	0	0	0	0	0	0	0	0	0	0
22406414-22406414_analysis_3	0	0	0	0	0	0	0	0	0	0	0
22450260-22450260_analysis_0	12	1	0	0	0	0	0	0	0	0	0
22450260-22450260_analysis_1	8	0	0	0	0	0	0	0	0	0	0
22450260-22450260_analysis_2	2	0	0	0	0	0	0	0	0	0	0
22476609-22476609_analysis_0	1	0	0	0	0	0	0	0	0	0	0
22476609-22476609_analysis_1	1	0	0	0	0	0	0	0	0	0	0
22476609-22476609_analysis_10	5	0	0	0	0	0	0	0	0	0	0
22476609-22476609_analysis_11	0	0	0	0	0	0	0	0	0	0	0
22476609-22476609_analysis_12	1	0	0	0	0	0	0	0	0	0	0
22476609-22476609_analysis_16	1	0	0	0	0	0	0	0	0	0	0
22476609-22476609_analysis_19	3	0	0	0	0	0	0	0	0	0	0
22476609-22476609_analysis_21	2	0	0	0	0	0	0	0	0	0	0
22476609-22476609_analysis_24	3	0	0	0	0	0	0	0	0	0	0
22476609-22476609_analysis_25	0	0	0	0	0	0	0	0	0	0	0
22476609-22476609_analysis_28	2	0	0	0	0	0	0	0	0	0	0
22476609-22476609_analysis_29	3	1	0	0	0	0	0	0	0	0	0
22476609-22476609_analysis_3	3	1	0	0	0	0	0	0	0	0	0
22476609-22476609_analysis_4	0	0	0	0	0	0	0	0	0	0	0
22476609-22476609_analysis_6	4	0	0	0	0	0	0	0	0	0	0
22476609-22476609_analysis_8	5	0	0	0	0	0	0	0	0	0	0
22483100-22483100_analysis_0	7	0	0	0	0	0	0	0	0	0	0
