match_key,canonical_label,mentions,n_variants,variants
alcohol cue taste,alcohol taste-cue paradigm,6,4,alcohol taste-cue paradigm | Alcohol Taste Cues Task | alcohol taste cues task | Alcohol-taste-cue paradigm
craving regulation,craving-regulation task,6,4,craving-regulation task | Regulation of Craving task | regulation of craving | craving regulation task
emotion processing,emotion processing task,6,3,emotion processing task | emotion processing | Emotion Processing Task
cannabi cue exposure,cannabis cue-exposure task,5,4,cannabis cue-exposure task | cannabis cue exposure task | fMRI cannabis cue exposure task | cannabis cue-exposure fMRI task
cue smoking,smoking cue task,5,4,smoking cue task | Smoking Cues Task | smoking-related cue task | smoking cue paradigm
picture viewing,picture viewing,5,4,picture viewing | picture viewing paradigm | Picture-viewing task | picture-viewing task
localizer,localizer run,5,5,localizer run | functional localizer | localiser task | fMRI localizer task | functional localizer scan
conflict emotional,emotional conflict task,5,3,emotional conflict task | Emotional conflict task | Emotional Conflict Task
affect labeling,affect labeling,5,3,affect labeling | affect labeling task | affect labeling paradigm
resting,resting PET,4,3,resting PET | resting scan | standard resting condition
neurofeedback,neurofeedback,4,4,neurofeedback | Neurofeedback | neurofeedback paradigm | neurofeedback task
delay discounting,delay discounting task,4,3,delay discounting task | Delay discounting task (DDT) | delay discounting
backward masking,backward-masking paradigm,4,4,backward-masking paradigm | backward masking paradigm | backward-masking task | Backward masking task
gambling iowa,Iowa Gambling Task,4,2,Iowa Gambling Task | modified Iowa Gambling Task
back emotional face n,emotional faces n-back task,4,3,emotional faces n-back task | emotional face n-back (EFNBACK) | emotional face N-back (EFNBACK) task
game ultimatum,modified Ultimatum Game,4,2,modified Ultimatum Game | Ultimatum Game
appraisal attention emotion shifted,Shifted-Attention Emotion Appraisal Task,4,3,Shifted-Attention Emotion Appraisal Task | shifted-attention emotion appraisal task | Shifted-Attention Emotion Appraisal Task (SEAT)
emotion positive regulation,positive emotion regulation task,4,3,positive emotion regulation task | Positive Emotion Regulation Task | Positive emotion regulation task
food motivation,food motivation paradigm,3,2,food motivation paradigm | food motivation fMRI paradigm
image neutral smoking,smoking-related and neutral images,3,3,smoking-related and neutral images | smoking and neutral images | smoking-related and neutral image task
emotional stroop,emotional Stroop task,3,1,emotional Stroop task
guided imagery personalized,personalized guided-imagery task,3,2,personalized guided-imagery task | personalized guided-imagery fMRI procedure
image neutral or smoking,smoking-related or neutral images,3,2,smoking-related or neutral images | smoking or neutral images
alcohol cue reactivity visual,visual alcohol cue-reactivity task,3,2,visual alcohol cue-reactivity task | visual alcohol cue reactivity task
cue smoking visual,smoking-related visual cue task,3,3,smoking-related visual cue task | smoking-related visual cues | Visual smoking-cue paradigm
delay incentive,incentive delay task,3,2,incentive delay task | Incentive delay task
cue event reactivity,event-related cue-reactivity task,3,2,event-related cue-reactivity task | event-related cue-reactivity paradigm
cue viewing,cue-viewing task,3,2,cue-viewing task | Cue viewing task
craving food reappraisal,food craving reappraisal task,3,1,food craving reappraisal task
back memory n working,Working-memory n-back task,3,3,Working-memory n-back task | n-back working memory task | n-back working memory paradigm
drug word,fMRI drug word task,3,3,fMRI drug word task | drug word fMRI task | drug-word fMRI task
monetary reward,monetary reward paradigm,3,2,monetary reward paradigm | monetary reward task
free resting state,task-free resting-state protocol,3,2,task-free resting-state protocol | task-free resting-state fMRI
emotion facial recognition,Facial emotion recognition,3,3,Facial emotion recognition | Facial Emotion Recognition Test | Facial emotion recognition task
cookie description picture theft,Cookie Theft picture description,3,2,Cookie Theft picture description | Cookie Theft picture description task
emotion recognition,emotion recognition task,3,2,emotion recognition task | emotion recognition
emotion implicit processing,implicit emotion processing task,3,2,implicit emotion processing task | implicit emotion-processing task
passive viewing,passive viewing,3,2,passive viewing | passive viewing task
face,Faces,3,2,Faces | Faces paradigm
distraction,distraction task,3,2,distraction task | distraction
emotional go no,emotional go/no-go task,3,1,emotional go/no-go task
emotion explicit regulation,explicit emotion regulation task,3,2,explicit emotion regulation task | explicit emotion regulation
emotional go nogo,emotional go-nogo task,3,3,emotional go-nogo task | emotional Go/NoGo task | emotional go/nogo task
alcohol associated control stimuli,alcohol-associated and control stimuli,2,1,alcohol-associated and control stimuli
cyberball rejection social,Cyberball social rejection task,2,2,Cyberball social rejection task | Cyberball social rejection paradigm
craving food,food craving task,2,1,food craving task
cocaine cue,cocaine cue task,2,1,cocaine cue task
food nonfood picture,food/nonfood picture task,2,2,food/nonfood picture task | food and nonfood picture paradigm
cocaine stroop word,cocaine-word Stroop task,2,1,cocaine-word Stroop task
cigarette cue,cigarette cues task,2,1,cigarette cues task
inhibition response,response inhibition task,2,2,response inhibition task | response inhibition
alcohol craving cue induced,cue-induced alcohol craving task,2,1,cue-induced alcohol craving task
cue visual,visual cue paradigm,2,2,visual cue paradigm | visual cue task
reward,reward paradigm,2,2,reward paradigm | Reward task
cannabi cue reactivity visual,visual fMRI cannabis cue reactivity task,2,2,visual fMRI cannabis cue reactivity task | visual fMRI cannabis cue-reactivity task
transfer,Transfer,2,2,Transfer | transfer task
cocaine cue exposure,cocaine cue-exposure paradigm,2,2,cocaine cue-exposure paradigm | cocaine cue exposure
probe reaction time,RT probe task,2,1,RT probe task
food image visual,visual food images,2,2,visual food images | visual food-image paradigm
perception picture,picture perception task,2,2,picture perception task | picture-perception task
cocaine craving cue induced,cue-induced cocaine craving task,2,1,cue-induced cocaine craving task
conflict incentive,incentive conflict task,2,1,incentive conflict task
cue taste,Taste Cue Paradigm,2,2,Taste Cue Paradigm | taste-cue paradigm
food image,food images,2,1,food images
montreal stress,Montreal Imaging Stress Task,2,2,Montreal Imaging Stress Task | Montreal Imaging Stress Test
control cue smoking,smoking and control cues,2,2,smoking and control cues | smoking and control cue task
stroop,Stroop task,2,1,Stroop task
food picture viewing,food picture viewing,2,1,food picture viewing
craving cue induced,cue-induced craving task,2,1,cue-induced craving task
craving cue elicited,Cue-elicited craving task,2,2,Cue-elicited craving task | cue-elicited craving task
probabilistic reward,Probabilistic Reward Task,2,2,Probabilistic Reward Task | probabilistic reward task
control food picture,food and control picture task,2,2,food and control picture task | food and control pictures
cue exposure visual,visual cue-exposure paradigm,2,2,visual cue-exposure paradigm | visual cue exposure paradigm
heroin stimuli visual,heroin-related visual stimuli,2,2,heroin-related visual stimuli | visual heroin-related stimuli
attentional bia counting line,attentional bias line counting task,2,2,attentional bias line counting task | attentional bias line-counting task
emotion,emotion paradigm,2,2,emotion paradigm | emotion task
cue drug reactivity,drug-related cue-reactivity task,2,2,drug-related cue-reactivity task | drug-cue reactivity task
cocaine cue reactivity,cocaine-cue reactivity paradigm,2,2,cocaine-cue reactivity paradigm | cocaine cue-reactivity fMRI paradigm
instrumental pavlovian transfer,Pavlovian-instrumental transfer task,2,1,Pavlovian-instrumental transfer task
cue methamphetamine,Methamphetamine Cues Task,2,1,Methamphetamine Cues Task
recognition,Recognition task,2,2,Recognition task | recognition
guessing rewarded,rewarded guessing task,2,1,rewarded guessing task
food image nonfood,food and nonfood images,2,2,food and nonfood images | food and nonfood image task
beer delay incentive,beer incentive delay task,2,2,beer incentive delay task | Beer Incentive Delay task
alcohol cue,Alcohol Cues Task,2,2,Alcohol Cues Task | alcohol cue task
craving food regulation,food-craving regulation task,2,2,food-craving regulation task | food craving regulation task
alcohol picture,alcohol pictures task,2,2,alcohol pictures task | Alcohol Pictures Task
cognitive control food picture strategy,cognitive control strategy food-picture task,2,1,cognitive control strategy food-picture task
cue event exposure,event-related cue-exposure,2,2,event-related cue-exposure | event-related cue-exposure paradigm
difference error juice temporal,temporal difference error juice paradigm,2,2,temporal difference error juice paradigm | Temporal Difference Error/Juice Paradigm
cue food viewing visual,visual food cue viewing,2,1,visual food cue viewing
control cue smoking video,smoking cue and control videos,2,1,smoking cue and control videos
stimuli visual,visual stimuli,2,2,visual stimuli | visual stimuli paradigm
advertisement viewing,advertisement viewing,2,1,advertisement viewing
naming,naming task,2,2,naming task | Naming task
matching picture word,word-picture matching task,2,2,word-picture matching task | Word-picture matching task
closed eye resting state,resting state with eyes closed,2,2,resting state with eyes closed | eyes-closed resting-state scan
face recognition,Face recognition,2,2,Face recognition | face recognition
episodic memory testing,Episodic memory testing,2,1,Episodic memory testing
supermarket virtual,Virtual supermarket task,2,2,Virtual supermarket task | virtual supermarket task
flanker,Flanker task,2,2,Flanker task | flanker task
conditioning fear,fear conditioning,2,2,fear conditioning | fear conditioning task
emotion identification,emotion identification,2,2,emotion identification | emotion identification task
free,task-free functional MRI,2,2,task-free functional MRI | task-free fMRI
driven imagery script,script-driven imagery,2,2,script-driven imagery | script-driven imagery task
emotional face interference,Emotional Faces Interference Task,2,1,Emotional Faces Interference Task
kidvid,KidVid fMRI task,2,2,KidVid fMRI task | KidVid
active regulation,active regulation,2,1,active regulation
empathy,empathy tasks,2,2,empathy tasks | empathy
dynamic face,dynamic faces task,2,1,dynamic faces task
aggression taylor,Taylor Aggression Paradigm,2,1,Taylor Aggression Paradigm
affective stroop,affective Stroop paradigm,2,2,affective Stroop paradigm | affective stroop task
emotion facial viewing,facial emotion viewing task,2,2,facial emotion viewing task | facial emotion viewing
face matching,face-matching task,2,2,face-matching task | Face Matching Task
emotional reactivity,emotional reactivity task,2,2,emotional reactivity task | Emotional Reactivity Task
anticipatory anxiety,anticipatory anxiety paradigm,2,2,anticipatory anxiety paradigm | anticipatory anxiety
emotion induction,emotion induction task,2,1,emotion induction task
continuou performance,continuous performance task,2,2,continuous performance task | Continuous performance task
affective picture,affective pictures,2,2,affective pictures | affective picture task
cyberball,Cyberball,2,1,Cyberball
emotional face stroop word,emotional face-word Stroop task,2,2,emotional face-word Stroop task | word-face emotional Stroop task
face fearful,fearful-face task,2,2,fearful-face task | fearful face task
cognitive emotion regulation,cognitive emotion regulation,2,2,cognitive emotion regulation | cognitive emotion regulation task
color stroop word,color-word Stroop task,2,1,color-word Stroop task
induction reappraisal worry,worry induction and reappraisal task,2,2,worry induction and reappraisal task | worry induction and worry reappraisal
appraisal cognitive re,cognitive re-appraisal task,2,1,cognitive re-appraisal task
approach avoidance,approach-avoidance task,2,1,approach-avoidance task
connectivity resting state,resting-state functional connectivity paradigm,2,2,resting-state functional connectivity paradigm | resting-state functional connectivity
induction mood,mood induction,2,1,mood induction
emotion reappraisal regulation,emotion-regulation reappraisal task,2,2,emotion-regulation reappraisal task | fMRI reappraisal emotion regulation task
emotional expectation,emotional expectation task,2,2,emotional expectation task | emotional expectation paradigm
evaluation social,Social Evaluation Task,2,1,Social Evaluation Task
emotion generation regulation,emotion generation and regulation task,2,1,emotion generation and regulation task
criticism,Criticism,2,1,Criticism
belief,Beliefs,2,1,Beliefs
emotional face processing,emotional face processing task,2,2,emotional face processing task | emotional faces processing paradigm
memory working,working memory task,2,2,working memory task | working memory
conditioning extinction fear,fear conditioning and extinction paradigm,2,1,fear conditioning and extinction paradigm
emotion reactivity regulation,emotion regulation and reactivity paradigm,2,2,emotion regulation and reactivity paradigm | emotion reactivity and regulation task
