project_name,run_name,version,is_top_canonical_v_run,is_top_v_allstudies_run,selection_status,selection_reason,rerun_status,return_code,metrics_stage,recall,precision,f1,run_dir,evaluation_output_dir,log_path
social,v2,2,,,selected,Eligible versioned run with screening artifacts.,success,0,fulltext,0.869748,0.405882,0.553476,/home/zorro/repos/autonima-results/projects/social/v2,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/social/v2,/home/zorro/repos/autonima-results/reports/cross_project_screening/logs/social__v2.log
social,v2-all_pmids,2,,,selected,Eligible versioned run with screening artifacts.,success,0,fulltext,0.915966,0.694268,0.789855,/home/zorro/repos/autonima-results/projects/social/v2-all_pmids,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/social/v2-all_pmids,/home/zorro/repos/autonima-results/reports/cross_project_screening/logs/social__v2-all_pmids.log
social,v2-annotation-only,2,,,skipped,Excluded annotation-only run.,skipped,,,,,,/home/zorro/repos/autonima-results/projects/social/v2-annotation-only,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/social/v2-annotation-only,
social,v3-all_pmids,3,,,selected,Eligible versioned run with screening artifacts.,success,0,fulltext,0.928571,0.688474,0.790698,/home/zorro/repos/autonima-results/projects/social/v3-all_pmids,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/social/v3-all_pmids,/home/zorro/repos/autonima-results/reports/cross_project_screening/logs/social__v3-all_pmids.log
social,v3-all_pmids-multi_analysis,3,,,selected,Eligible versioned run with screening artifacts.,success,0,fulltext,0.915966,0.692063,0.788427,/home/zorro/repos/autonima-results/projects/social/v3-all_pmids-multi_analysis,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/social/v3-all_pmids-multi_analysis,/home/zorro/repos/autonima-results/reports/cross_project_screening/logs/social__v3-all_pmids-multi_analysis.log
social,v3-all_pmids-multi_analysis-ft,3,,,selected,Eligible versioned run with screening artifacts.,success,0,fulltext,0.970588,0.689552,0.806283,/home/zorro/repos/autonima-results/projects/social/v3-all_pmids-multi_analysis-ft,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/social/v3-all_pmids-multi_analysis-ft,/home/zorro/repos/autonima-results/reports/cross_project_screening/logs/social__v3-all_pmids-multi_analysis-ft.log
social,v3-all_pmids-multi_analysis-ft-gpt52,3,,,selected,Eligible versioned run with screening artifacts.,success,0,fulltext,0.915966,0.685535,0.784173,/home/zorro/repos/autonima-results/projects/social/v3-all_pmids-multi_analysis-ft-gpt52,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/social/v3-all_pmids-multi_analysis-ft-gpt52,/home/zorro/repos/autonima-results/reports/cross_project_screening/logs/social__v3-all_pmids-multi_analysis-ft-gpt52.log
social,v3-annotation-only,3,,,skipped,Excluded annotation-only run.,skipped,,,,,,/home/zorro/repos/autonima-results/projects/social/v3-annotation-only,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/social/v3-annotation-only,
social,v3-search-all_pmids,3,,,selected,Eligible versioned run with screening artifacts.,success,0,fulltext,0.928571,0.409259,0.568123,/home/zorro/repos/autonima-results/projects/social/v3-search-all_pmids,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/social/v3-search-all_pmids,/home/zorro/repos/autonima-results/reports/cross_project_screening/logs/social__v3-search-all_pmids.log
social,v3-search-all_pmids-multi_analysis,3,,,selected,Eligible versioned run with screening artifacts.,success,0,fulltext,0.924370,0.405904,0.564103,/home/zorro/repos/autonima-results/projects/social/v3-search-all_pmids-multi_analysis,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/social/v3-search-all_pmids-multi_analysis,/home/zorro/repos/autonima-results/reports/cross_project_screening/logs/social__v3-search-all_pmids-multi_analysis.log
template_,v1,1,,,skipped,No screening artifacts found under outputs/ (search/abstract/fulltext/final).,skipped,,,,,,/home/zorro/repos/autonima-results/projects/template_/v1,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/template_/v1,
vbm_of_ptsd,v1-annotation-only,1,,,skipped,Excluded annotation-only run.,skipped,,,,,,/home/zorro/repos/autonima-results/projects/vbm_of_ptsd/v1-annotation-only,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/vbm_of_ptsd/v1-annotation-only,
vbm_of_ptsd,v1-recent,1,,,selected,Eligible versioned run with screening artifacts.,success,0,fulltext,0.761905,0.470588,0.581818,/home/zorro/repos/autonima-results/projects/vbm_of_ptsd/v1-recent,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/vbm_of_ptsd/v1-recent,/home/zorro/repos/autonima-results/reports/cross_project_screening/logs/vbm_of_ptsd__v1-recent.log
vbm_of_ptsd,v1-test,1,,,skipped,No screening artifacts found under outputs/ (search/abstract/fulltext/final).,skipped,,,,,,/home/zorro/repos/autonima-results/projects/vbm_of_ptsd/v1-test,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/vbm_of_ptsd/v1-test,
vbm_of_substance_use,v1,1,,,selected,Eligible versioned run with screening artifacts.,success,0,fulltext,0.759494,0.476190,0.585366,/home/zorro/repos/autonima-results/projects/vbm_of_substance_use/v1,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/vbm_of_substance_use/v1,/home/zorro/repos/autonima-results/reports/cross_project_screening/logs/vbm_of_substance_use__v1.log
vbm_of_substance_use,v2-annotation-only-gpt,2,,,skipped,Excluded annotation-only run.,skipped,,,,,,/home/zorro/repos/autonima-results/projects/vbm_of_substance_use/v2-annotation-only-gpt,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/vbm_of_substance_use/v2-annotation-only-gpt,
vbm_of_substance_use,v2-recent,2,,,selected,Eligible versioned run with screening artifacts.,success,0,fulltext,0.746835,0.318919,0.446970,/home/zorro/repos/autonima-results/projects/vbm_of_substance_use/v2-recent,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/vbm_of_substance_use/v2-recent,/home/zorro/repos/autonima-results/reports/cross_project_screening/logs/vbm_of_substance_use__v2-recent.log
