pmid,table_id,table_label,x,y,z,p_value,region,size,statistic,groups
20350171,6,Table 3,-28.0,-18.0,-28.0,,Parahippocampal gyrus,b,7.34,First (P1–F1)
20350171,6,Table 3,22.0,-30.0,-18.0,,Parahippocampal gyrus,c,7.72,First (P1–F1)
20350171,6,Table 3,-18.0,-4.0,-14.0,,Amygdala,c,6.06,First (P1–F1)
20350171,6,Table 3,-38.0,14.0,-18.0,,Temporal pole/orbitotemporoinsular junction,c,5.8,First (P1–F1)
20350171,6,Table 3,28.0,18.0,-26.0,,Temporal pole/orbitotemporoinsular junction,c,6.91,First (P1–F1)
20350171,6,Table 3,26.0,22.0,-24.0,,Temporal pole/orbitotemporoinsular junction,a,6.54,Second (P2–F2)
20350171,6,Table 3,-58.0,-4.0,-22.0,,Middle temporal gyrus (anterior),169,5.46,First (P1–F1)
20350171,6,Table 3,56.0,-2.0,-22.0,,Middle temporal gyrus (anterior),c,6.55,First (P1–F1)
20350171,6,Table 3,54.0,-6.0,-22.0,,Middle temporal gyrus (anterior),384,6.04,Second (P2–F2)
20350171,6,Table 3,64.0,-42.0,-8.0,,Middle temporal gyrus (posterior),363g,5.63,First (P1–F1)
20350171,6,Table 3,-56.0,-58.0,16.0,,STS (posterior),e,6.01,First (P1–F1)
20350171,6,Table 3,64.0,-52.0,14.0,,STS (posterior),d,6.7,First (P1–F1)
20350171,6,Table 3,48.0,-64.0,18.0,,STS (posterior),1344d,7.51,First (P1–F1)
20350171,6,Table 3,52.0,-58.0,24.0,,STS (posterior),424,6.34,Second (P2–F2)
20350171,6,Table 3,-44.0,-76.0,24.0,,Occipito-TPJ,1631e,6.57,First (P1–F1)
20350171,6,Table 3,-36.0,-74.0,32.0,,Occipito-TPJ,142,4.46,Second (P2–F2)
20350171,6,Table 3,-44.0,-76.0,24.0,,Occipito-TPJ,1631e,6.57,First (P1–F1)
20350171,6,Table 3,30.0,-74.0,44.0,,Occipito-TPJ,164,5.41,Second (P2–F2)
20350171,6,Table 3,38.0,-50.0,36.0,,Intraparietal sulcus,243e,4.72,Second (P2–F2)
20350171,6,Table 3,34.0,-50.0,54.0,,Intraparietal sulcus,e,4.29,Second (P2–F2)
20350171,6,Table 3,-10.0,-58.0,14.0,,Occipito-parietal sulcus,13707c,8.28,First (P1–F1)
20350171,6,Table 3,-8.0,-68.0,22.0,,Occipito-parietal sulcus,b,5.8,Second (P2–F2)
20350171,6,Table 3,-6.0,-68.0,24.0,,Occipito-parietal sulcus,c,6.9,First (P1–F1)
20350171,6,Table 3,-4.0,-66.0,28.0,,Occipito-parietal sulcus,b,6.41,Second (P2–F2)
20350171,6,Table 3,12.0,-58.0,24.0,,Occipito-parietal sulcus,c,7.89,First (P1–F1)
20350171,6,Table 3,10.0,-62.0,28.0,,Occipito-parietal sulcus,3120b,7.35,Second (P2–F2)
20350171,6,Table 3,12.0,-58.0,8.0,,Occipito-parietal sulcus,c,6.49,First (P1–F1)
20350171,6,Table 3,8.0,-56.0,12.0,,Occipito-parietal sulcus,b,4.38,Second (P2–F2)
20350171,6,Table 3,8.0,-58.0,38.0,,Precuneus,c,6.16,First (P1–F1)
20350171,6,Table 3,6.0,-56.0,34.0,,Precuneus,b,6.51,Second (P2–F2)
20350171,6,Table 3,8.0,-48.0,32.0,,Posterior cingulate cortex (posterodorsal),c,6.4,First (P1–F1)
20350171,6,Table 3,4.0,-38.0,38.0,,Posterior cingulate cortex (posterodorsal),b,3.72,Second (P2–F2)
20350171,6,Table 3,-6.0,-48.0,24.0,,Posterior cingulate cortex (retrosplenial),b,5.42,Second (P2–F2)
20350171,6,Table 3,6.0,-42.0,26.0,,Posterior cingulate cortex (retrosplenial),b,4.51,Second (P2–F2)
20350171,6,Table 3,10.0,46.0,34.0,,Medial frontal gyrus (anterodorsal),c,8.02,First (P1–F1)
20350171,6,Table 3,8.0,52.0,34.0,,Medial frontal gyrus (anterodorsal),c,6.45,Second (P2–F2)
20350171,6,Table 3,6.0,48.0,18.0,,Medial frontal gyrus (anterodorsal),c,6.97,First (P1–F1)
20350171,6,Table 3,0.0,62.0,24.0,,Medial frontal gyrus (anterodorsal),c,5.84,Second (P2–F2)
20350171,6,Table 3,0.0,56.0,-16.0,,Medial frontal gyrus (anteroventral),c,6.06,First (P1–F1)
20350171,6,Table 3,0.0,56.0,-16.0,,Medial frontal gyrus (anteroventral),c,6.44,Second (P2–F2)
20350171,6,Table 3,-8.0,36.0,-2.0,,ACC (rostral),c,8.22,First (P1–F1)
20350171,6,Table 3,-4.0,42.0,2.0,,ACC (polar),c,7.96,First (P1–F1)
20350171,6,Table 3,-10.0,44.0,8.0,,ACC (polar),c,5.91,Second (P2–F2)
20350171,6,Table 3,2.0,44.0,8.0,,ACC (polar),c,6.77,First (P1–F1)
20350171,6,Table 3,10.0,44.0,14.0,,ACC (polar),4163c,6.58,Second (P2–F2)
20350171,6,Table 3,-22.0,60.0,8.0,,Frontal pole,c,5.74,Second (P2–F2)
20350171,6,Table 3,54.0,22.0,26.0,,Inferior frontal gyrus (pars triangularis),1188f,5.8,First (P1–F1)
20350171,6,Table 3,52.0,12.0,22.0,,Inferior frontal gyrus (pars triangularis),a,7.53,Second (P2–F2)
20350171,6,Table 3,54.0,30.0,8.0,,Inferior frontal gyrus (pars triangularis),f,5.27,First (P1–F1)
20350171,6,Table 3,52.0,12.0,22.0,,Inferior frontal gyrus (pars triangularis),a,7.53,Second (P2–F2)
20350171,6,Table 3,48.0,44.0,2.0,,Inferior frontal gyrus (pars triangularis),a,6.1,Second (P2–F2)
20350171,6,Table 3,42.0,14.0,36.0,,Inferior frontal sulcus,f,5.56,First (P1–F1)
20350171,6,Table 3,44.0,16.0,30.0,,Inferior frontal sulcus,2774a,9.33,Second (P2–F2)
20350171,6,Table 3,-6.0,0.0,-10.0,,Ventral striatum,c,6.8,First (P1–F1)
20350171,6,Table 3,-4.0,-10.0,2.0,,Thalamus,c,5.85,First (P1–F1)
20350171,6,Table 3,-2.0,-24.0,2.0,,Thalamus,d,5.41,Second (P2–F2)
20350171,6,Table 3,2.0,-22.0,-16.0,,Midbrain,c,6.52,First (P1–F1)
20350171,6,Table 3,8.0,-24.0,-14.0,,Midbrain,d,6.19,Second (P2–F2)
20350171,6,Table 3,-8.0,-52.0,-44.0,,Cerebellum (tonsil),247a,9.05,First (P1–F1)
22360624,7,Table 1,58.0,6.0,-10.0,,"Belin et al., 2000",,,Right STS/STG
