pmid,priority,is_gold,in_included_set,type,reported_by,existing_path
17546682,2,False,True,unavailable,v1;v2,
17958487,2,False,True,unavailable,v1;v2,
17993204,2,False,True,unavailable,v1;v2,
18044634,2,False,True,unavailable,v1;v2,
18208887,2,False,True,unavailable,v1;v2,
18284348,2,False,True,unavailable,v1;v2,
18305285,2,False,True,unavailable,v1;v2,
18305932,2,False,True,unavailable,v1;v2,
18337404,2,False,True,unavailable,v1;v2,
18345987,2,False,True,unavailable,v1;v2,
18466410,2,False,True,unavailable,v1;v2,
18690393,2,False,True,unavailable,v1;v2,
18702587,2,False,True,unavailable,v1;v2,
18985116,2,False,True,unavailable,v1;v2,
18985123,2,False,True,unavailable,v1;v2,
19199409,2,False,True,unavailable,v1;v2,
19199416,2,False,True,unavailable,v1;v2,
19366289,2,False,True,unavailable,v1;v2,
19383937,2,False,True,unavailable,v1;v2,
19423779,2,False,True,unavailable,v1;v2,
19424359,2,False,True,unavailable,v1;v2,
19553210,2,False,True,unavailable,v1;v2,
19605520,2,False,True,unavailable,v1;v2,
19637012,2,False,True,unavailable,v1;v2,
19642881,2,False,True,unavailable,v1;v2,
19658029,2,False,True,unavailable,v1;v2,
19679763,2,False,True,unavailable,v1;v2,
19727598,2,False,True,unavailable,v1;v2,
19846703,2,False,True,unavailable,v1;v2,
19947462,2,False,True,unavailable,v1;v2,
19955414,2,False,True,unavailable,v1;v2,
19997039,2,False,True,unavailable,v1;v2,
20039023,2,False,True,unavailable,v1;v2,
20054816,2,False,True,unavailable,v1;v2,
20095463,2,False,True,unavailable,v1;v2,
20174930,2,False,True,unavailable,v1;v2,
20336690,2,False,True,unavailable,v1;v2,
20426143,2,False,True,unavailable,v1;v2,
20505108,2,False,True,unavailable,v1;v2,
20552497,2,False,True,unavailable,v1;v2,
20660746,2,False,True,unavailable,v1;v2,
20666600,2,False,True,unavailable,v1;v2,
20804287,2,False,True,unavailable,v1;v2,
21246667,2,False,True,unavailable,v1;v2,
21264650,2,False,True,unavailable,v1;v2,
21325514,2,False,True,unavailable,v1;v2,
21430161,2,False,True,unavailable,v1;v2,
21440069,2,False,True,unavailable,v1;v2,
21471389,2,False,True,unavailable,v1;v2,
21480834,2,False,True,unavailable,v1;v2,
21557892,2,False,True,unavailable,v1;v2,
21574047,2,False,True,unavailable,v1;v2,
21609676,2,False,True,unavailable,v1;v2,
21616985,2,False,True,unavailable,v1;v2,
21625010,2,False,True,unavailable,v1;v2,
21656872,2,False,True,unavailable,v1;v2,
21736455,2,False,True,unavailable,v1;v2,
21761688,2,False,True,unavailable,v1;v2,
21788526,2,False,True,unavailable,v1;v2,
