id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17
23683790-23683790_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23708507-23708507_1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
23955492-23955492_1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0
23955492-23955492_2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
24029699-24029699_1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
24035535-24035535_1	1	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
24035535-24035535_2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24035535-24035535_3	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
24186078-24186078_1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
24186078-24186078_2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
24261848-24261848_1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
24261848-24261848_2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
24304235-24304235_1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
24361634-24361634_1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
24465445-24465445_1	1	1	1	1	3	0	1	1	0	1	1	0	0	0	0	0	1
24465445-24465445_2	1	2	1	0	1	0	1	2	0	1	0	0	0	0	0	0	0
24529072-24529072_1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24949564-24949564_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25214465-25214465_1	1	1	1	1	7	1	1	0	0	0	0	0	0	0	0	0	0
25567427-25567427_1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
25796007-25796007_1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
26475784-26475784_1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
26767945-26767945_1	0	1	0	1	6	0	0	1	0	0	0	0	0	0	0	0	0
26805583-26805583_1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
26813476-26813476_1	1	1	1	1	6	5	0	0	0	0	0	0	0	0	0	0	0
27168331-27168331_1	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0
28801730-28801730_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28960762-28960762_1	2	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
29106683-29106683_1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
29343732-29343732_1	0	1	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0
29593581-29593581_1	0	6	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0
29880873-29880873_1	0	2	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0
29984874-29984874_1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
