id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8
20090671-20090671_analysis_6	2	0	0	0	0	0	0	0
20090671-20090671_analysis_7	5	0	0	0	0	0	0	0
20090671-20090671_analysis_8	3	0	0	0	0	0	0	0
20090671-20090671_analysis_9	7	0	0	0	0	0	0	0
20096712-20096712_analysis_0	2	0	0	0	0	0	0	0
20445032-20445032_analysis_0	9	0	0	0	0	0	0	0
20445032-20445032_analysis_1	8	0	0	0	0	0	0	0
20445032-20445032_analysis_2	1	0	0	0	0	0	0	0
20445032-20445032_analysis_3	0	0	0	0	0	0	0	0
20445032-20445032_analysis_4	1	0	0	0	0	0	0	0
20445032-20445032_analysis_5	1	0	0	0	0	0	0	0
20445032-20445032_analysis_6	0	0	0	0	0	0	0	0
20445032-20445032_analysis_7	2	0	0	0	0	0	0	0
20571434-20571434_analysis_0	3	0	0	0	0	0	0	0
20571434-20571434_analysis_1	2	0	0	0	0	0	0	0
20604987-20604987_analysis_0	4	0	0	0	0	0	0	0
20604987-20604987_analysis_1	0	0	0	0	0	0	0	0
20604987-20604987_analysis_2	1	0	0	0	0	0	0	0
20604987-20604987_analysis_3	0	0	0	0	0	0	0	0
20604987-20604987_analysis_4	1	0	0	0	0	0	0	0
20604987-20604987_analysis_5	0	0	0	0	0	0	0	0
20670348-20670348_analysis_0	12	1	0	0	0	0	0	0
20678551-20678551_analysis_0	9	1	0	0	0	0	0	0
20678551-20678551_analysis_1	4	0	0	0	0	0	0	0
20678551-20678551_analysis_2	5	0	0	0	0	0	0	0
20688176-20688176_analysis_0	2	0	0	0	0	0	0	0
20703221-20703221_analysis_0	3	0	0	0	0	0	0	0
20703221-20703221_analysis_1	0	0	0	0	0	0	0	0
20729530-20729530_analysis_0	4	0	0	0	0	0	0	0
20729530-20729530_analysis_1	1	0	0	0	0	0	0	0
20729530-20729530_analysis_2	2	0	0	0	0	0	0	0
20729530-20729530_analysis_3	3	0	0	0	0	0	0	0
20729530-20729530_analysis_4	5	0	0	0	0	0	0	0
20823246-20823246_analysis_0	2	0	0	0	0	0	0	0
20823246-20823246_analysis_1	0	0	0	0	0	0	0	0
20823246-20823246_analysis_10	1	0	0	0	0	0	0	0
20823246-20823246_analysis_11	0	0	0	0	0	0	0	0
20823246-20823246_analysis_2	2	0	0	0	0	0	0	0
20823246-20823246_analysis_3	0	0	0	0	0	0	0	0
20823246-20823246_analysis_4	0	0	0	0	0	0	0	0
20823246-20823246_analysis_5	1	0	0	0	0	0	0	0
20823246-20823246_analysis_6	1	0	0	0	0	0	0	0
20823246-20823246_analysis_7	1	0	0	0	0	0	0	0
20823246-20823246_analysis_8	1	0	0	0	0	0	0	0
20823246-20823246_analysis_9	0	0	0	0	0	0	0	0
20840335-20840335_analysis_0	14	0	0	0	0	0	0	0
20840335-20840335_analysis_1	13	0	0	0	0	0	0	0
20840335-20840335_analysis_10	3	0	0	0	0	0	0	0
20840335-20840335_analysis_11	1	0	0	0	0	0	0	0
20840335-20840335_analysis_2	10	0	0	0	0	0	0	0
20840335-20840335_analysis_3	2	0	0	0	0	0	0	0
20840335-20840335_analysis_4	0	0	0	0	0	0	0	0
20840335-20840335_analysis_5	2	0	0	0	0	0	0	0
20840335-20840335_analysis_6	6	0	0	0	0	0	0	0
20840335-20840335_analysis_7	6	0	0	0	0	0	0	0
20840335-20840335_analysis_8	6	0	0	0	0	0	0	0
20840335-20840335_analysis_9	3	0	0	0	0	0	0	0
20932921-20932921_analysis_0	4	0	0	0	0	0	0	0
20932921-20932921_analysis_1	0	0	0	0	0	0	0	0
20932921-20932921_analysis_2	2	0	0	0	0	0	0	0
20932921-20932921_analysis_3	3	0	0	0	0	0	0	0
20932921-20932921_analysis_4	0	0	0	0	0	0	0	0
20932921-20932921_analysis_5	1	0	0	0	0	0	0	0
20932921-20932921_analysis_6	0	0	0	0	0	0	0	0
21045002-21045002_analysis_0	3	0	0	0	0	0	0	0
21045002-21045002_analysis_1	1	0	0	0	0	0	0	0
21045002-21045002_analysis_2	2	0	0	0	0	0	0	0
21045002-21045002_analysis_3	0	0	0	0	0	0	0	0
21045002-21045002_analysis_4	0	0	0	0	0	0	0	0
21115229-21115229_analysis_0	0	0	0	0	0	0	0	0
21115229-21115229_analysis_1	1	1	0	0	0	0	0	1
21115229-21115229_analysis_2	0	0	0	0	0	0	0	0
21169809-21169809_analysis_0	5	0	0	0	0	0	0	0
21185518-21185518_analysis_0	4	0	0	0	0	0	0	0
21185518-21185518_analysis_1	4	0	0	0	0	0	0	0
21185518-21185518_analysis_2	9	0	0	0	0	0	0	0
21219260-21219260_analysis_0	23	1	0	0	0	0	0	0
21248113-21248113_analysis_0	7	0	0	0	0	0	0	0
21292243-21292243_analysis_0	5	1	0	0	0	0	0	0
21292243-21292243_analysis_1	2	0	0	0	0	0	0	0
21440645-21440645_analysis_0	0	0	0	0	0	0	0	0
21440645-21440645_analysis_1	0	0	0	0	0	0	0	0
21440645-21440645_analysis_10	0	0	0	0	0	0	0	0
21440645-21440645_analysis_11	1	0	0	0	0	0	0	0
