pmcid,n_coordinates,licence,article_dir
3853419,122,creativecommons.org/licenses/by/,projects/decision_making/v2-annotation-only/retrieval/pubget_data/articles/212/pmcid_3853419
3828508,39,creativecommons.org/licenses/by/,projects/decision_making/v2-annotation-only/retrieval/pubget_data/articles/55f/pmcid_3828508
4350407,13,creativecommons.org/licenses/by/,projects/decision_making/v2-annotation-only/retrieval/pubget_data/articles/64f/pmcid_4350407
2440815,14,creativecommons.org/licenses/by/,projects/decision_making/v2-annotation-only/retrieval/pubget_data/articles/df1/pmcid_2440815
6868780,6,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/008/pmcid_6868780
3913699,20,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/106/pmcid_3913699
7306898,10,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/11c/pmcid_7306898
4951525,4,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/16b/pmcid_4951525
7089669,36,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/1ce/pmcid_7089669
6764740,7,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/2b0/pmcid_6764740
4877391,37,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/2cb/pmcid_4877391
4205092,74,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/364/pmcid_4205092
6264489,20,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/3bf/pmcid_6264489
5922300,15,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/3f3/pmcid_5922300
3398766,16,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/3fb/pmcid_3398766
4546630,5,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/41e/pmcid_4546630
5476347,20,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/44e/pmcid_5476347
