id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14
22505330-22505330_analysis_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22505330-22505330_analysis_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22505330-22505330_analysis_2	3	0	0	1	2	1	0	0	0	0	0	0	0	0
22505330-22505330_analysis_3	1	2	0	0	0	0	0	0	0	0	0	0	0	0
22505330-22505330_analysis_4	0	0	0	1	0	0	0	0	0	0	0	0	0	0
22505330-22505330_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22505330-22505330_analysis_6	1	0	0	1	0	0	0	0	0	0	0	0	0	0
22505330-22505330_analysis_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22505330-22505330_analysis_8	1	0	0	0	0	0	0	0	0	0	0	0	0	0
22505330-22505330_analysis_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22590530-22590530_analysis_0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
22590530-22590530_analysis_10	1	0	0	0	0	0	0	0	0	0	0	0	0	0
22590530-22590530_analysis_11	1	0	0	0	0	0	0	0	0	0	0	0	0	0
22590530-22590530_analysis_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22590530-22590530_analysis_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22590530-22590530_analysis_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22590530-22590530_analysis_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22590530-22590530_analysis_2	1	1	0	0	1	0	0	0	0	0	0	0	0	0
22590530-22590530_analysis_3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
22590530-22590530_analysis_4	1	1	0	0	0	0	0	0	0	0	0	0	0	0
22590530-22590530_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22590530-22590530_analysis_6	1	1	0	0	0	0	0	0	0	0	0	0	0	0
22590530-22590530_analysis_7	2	0	0	0	1	0	0	0	0	0	0	0	0	0
22590530-22590530_analysis_8	1	1	0	0	0	0	0	0	0	0	0	0	0	0
22590530-22590530_analysis_9	1	2	0	1	0	0	0	0	0	0	0	0	0	0
22840551-22840551_analysis_0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
22840551-22840551_analysis_4	0	0	0	0	2	0	0	0	0	0	0	0	0	0
22889284-22889284_analysis_0	5	5	2	3	0	0	0	0	0	0	0	0	0	0
22889284-22889284_analysis_1	3	1	0	1	0	0	0	0	0	0	0	0	0	0
22889284-22889284_analysis_2	4	3	0	1	0	0	0	0	0	0	0	0	0	0
23052545-23052545_analysis_0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
23052545-23052545_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23052545-23052545_analysis_10	3	4	0	0	0	0	1	1	0	0	0	0	0	0
23052545-23052545_analysis_11	4	4	0	0	0	0	0	0	0	0	0	0	0	0
23052545-23052545_analysis_12	1	2	0	0	0	0	0	0	0	0	0	0	0	0
23052545-23052545_analysis_13	3	2	0	0	0	0	0	0	0	0	0	0	0	0
23052545-23052545_analysis_14	0	1	0	0	0	0	0	0	0	0	0	0	0	0
23052545-23052545_analysis_15	2	2	0	1	0	0	0	0	0	0	0	0	0	0
23052545-23052545_analysis_16	0	3	0	1	0	0	0	0	0	0	0	0	0	0
23052545-23052545_analysis_17	1	4	0	0	0	0	0	0	0	0	0	0	0	0
23052545-23052545_analysis_18	0	2	1	0	0	0	0	0	0	0	0	0	0	0
23052545-23052545_analysis_19	0	3	0	0	0	0	0	0	0	0	0	0	0	0
23052545-23052545_analysis_2	0	1	1	1	0	0	0	0	0	0	0	0	0	0
23052545-23052545_analysis_20	1	3	0	0	0	1	0	0	0	0	0	0	0	0
23052545-23052545_analysis_21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23052545-23052545_analysis_22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23052545-23052545_analysis_23	3	1	0	0	0	0	0	0	0	0	0	0	0	0
23052545-23052545_analysis_24	1	2	0	0	0	0	0	0	0	0	0	0	0	0
23052545-23052545_analysis_25	1	1	0	0	0	0	0	0	0	0	0	0	0	0
23052545-23052545_analysis_26	1	3	0	1	0	0	0	0	0	0	0	0	0	0
23052545-23052545_analysis_27	1	3	0	1	0	0	0	0	0	0	0	0	0	0
23052545-23052545_analysis_28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23052545-23052545_analysis_29	1	1	0	0	0	0	0	0	0	0	0	0	0	0
23052545-23052545_analysis_3	0	1	0	0	0	0	0	0	0	0	0	0	0	0
23052545-23052545_analysis_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23052545-23052545_analysis_31	1	2	0	0	0	0	0	0	0	0	0	0	0	0
23052545-23052545_analysis_32	1	0	0	0	0	1	0	0	0	0	0	0	0	0
23052545-23052545_analysis_4	1	5	1	0	0	0	0	0	0	0	0	0	0	0
23052545-23052545_analysis_5	1	2	0	0	0	0	0	0	0	0	0	0	0	0
23052545-23052545_analysis_6	2	1	0	0	0	0	0	0	0	0	0	0	0	0
23052545-23052545_analysis_7	1	0	0	0	0	0	0	0	0	0	0	0	0	0
23052545-23052545_analysis_9	4	3	0	0	0	0	0	0	0	0	0	0	0	0
23267322-23267322_analysis_0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
23267322-23267322_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23267322-23267322_analysis_3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
23267322-23267322_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23342130-23342130_analysis_0	5	10	0	2	4	4	0	0	0	0	0	0	0	0
23342130-23342130_analysis_1	4	7	0	2	0	1	1	0	0	0	0	0	0	0
23342130-23342130_analysis_2	1	7	0	2	2	0	0	0	0	0	0	0	0	0
23342130-23342130_analysis_3	2	9	2	5	2	3	0	0	0	0	0	0	0	0
23342130-23342130_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23342130-23342130_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23342130-23342130_analysis_6	0	1	1	1	2	0	0	0	0	0	0	0	0	0
23378834-23378834_analysis_0	3	4	1	0	0	0	0	0	0	0	0	0	0	0
23378834-23378834_analysis_1	2	3	0	1	0	0	0	0	0	0	0	0	0	0
23378834-23378834_analysis_13	1	2	0	0	1	1	0	0	0	0	0	0	0	0
23378834-23378834_analysis_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23378834-23378834_analysis_2	4	4	1	1	0	1	0	0	0	0	0	0	0	0
23378834-23378834_analysis_3	2	2	1	0	1	1	0	0	0	0	0	0	0	0
23378834-23378834_analysis_5	1	0	0	0	0	0	0	0	0	0	0	0	0	0
23378834-23378834_analysis_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23378834-23378834_analysis_7	1	0	0	0	1	1	0	0	0	0	0	0	0	0
23378834-23378834_analysis_9	1	0	0	0	0	1	0	0	0	0	0	0	0	0
23510581-23510581_analysis_0	3	1	1	0	1	1	0	0	0	0	0	0	0	0
23510581-23510581_analysis_1	2	0	0	0	0	1	0	0	0	0	0	0	0	0
23510581-23510581_analysis_2	2	0	1	0	0	0	0	0	0	0	0	0	0	0
23510581-23510581_analysis_3	0	0	0	0	1	1	0	0	0	0	0	0	0	0
23548839-23548839_analysis_0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
23548839-23548839_analysis_1	3	1	0	0	0	0	0	0	0	0	0	0	0	0
23548839-23548839_analysis_2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
23599165-23599165_analysis_4	0	2	0	0	0	0	0	0	0	0	0	0	0	0
23599165-23599165_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23667619-23667619_analysis_0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
23667619-23667619_analysis_1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
23667619-23667619_analysis_2	1	1	0	1	1	0	0	0	0	0	0	0	0	0
23667619-23667619_analysis_3	0	0	0	2	0	0	0	0	0	0	0	0	0	0
23684882-23684882_analysis_0	2	1	0	2	1	0	1	0	0	0	0	0	0	0
23684882-23684882_analysis_1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
23722983-23722983_analysis_0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
23813661-23813661_analysis_0	4	7	0	3	2	0	0	0	0	0	0	0	0	0
23813661-23813661_analysis_1	2	6	0	3	0	0	1	0	0	0	0	0	0	0
23813661-23813661_analysis_2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
23813661-23813661_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23813661-23813661_analysis_4	0	0	0	0	1	0	0	0	0	0	0	0	0	0
23895223-23895223_analysis_0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
23948645-23948645_analysis_0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
23948645-23948645_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
