pmid,file,bytes,sha256,rendered_by_the_arms
20053378,20053378.extraction.json,80458,065a5e7f0c157e65906934361c79a679168f4c3f8bf40bc42794fc2c3d31df66,True
20071459,20071459.extraction.json,114907,65795c39231dde3d69841cada3ff8ce8621c3f4c8b18bcd7227a3ca874069fce,True
20089342,20089342.extraction.json,80882,fc279e3da41d5b17e5d152d9e39497042a286e6ca4f724608886331b1230c079,True
20150729,20150729.extraction.json,50069,9984ed26de869526489439e8437acbcad10054386111f4115da9485fb1647fd0,True
20177120,20177120.extraction.json,66154,362be4c0cd97f9a564365935f2e3131817c0ebe0ac81e1aeb669de5965c61ead,True
20352396,20352396.extraction.json,13005,295b967799ae8c149f65cdcaa0932deb237c80421e906adce37ca2779ebe4a16,True
20410145,20410145.extraction.json,98764,53c9a5b60eafa7efaef690bb5bc58ea3e8a0e57e0c8239479bf5f0bb760a8e0d,True
20493673,20493673.extraction.json,117120,800af7070d2ae7e227bd8847aa52b4d2f8a0fc07bee70148793931d69f86eaac,True
20562461,20562461.extraction.json,58504,99774dfabd72b713d59787ae5e187f9959cae2d00d970a83b891484bf1384110,True
20669302,20669302.extraction.json,145210,3b13a8a51e90c2d1fbd911514daa8c76ebb50d10497e13cac8f6cb5f301efb57,True
20728544,20728544.extraction.json,65724,937316297d2888974aa3fd5eb305b4f18d1c114bfd08561f351284d8ad7b6e8b,True
21029744,21029744.extraction.json,77192,9a2f0e96728c7b385fe51b4bf5c7cd62a7256b5383117cdbf04014ffcee7ad40,True
21059987,21059987.extraction.json,64627,fc0e577cceec043233c6e18e05f13dbb5e9c45a39a408eb481fb30640e988776,True
21172843,21172843.extraction.json,95081,75c58fd194e63873c12cfeaea5d84793abc40175efbe7b3566bc3ee189210ad6,True
21172844,21172844.extraction.json,92493,193f487ce0e783320049293dd0b752b91410f209f441f7bf0df9a36a5dc7ceaa,True
21172863,21172863.extraction.json,65061,c74d850107cdfd98194a4d3eb42a8c00a069e99ca39e1fd7af5380d4714d965b,True
21215762,21215762.extraction.json,120629,2cd133d4628279756ac2cecef0dc119e771d47bba66fba5faf5bcd4d8123f21c,True
